query,len,len_bucket,coles_cnt,wws_search_cnt,coles_url
nestle chocolate bits dark,4,3,1,0,https://www.coles.com.au/search?q=nestle%20chocolate%20bits%20dark
massel beef stock powder,4,3,1,0,https://www.coles.com.au/search?q=massel%20beef%20stock%20powder
black swan corn relish dip,5,3,1,0,https://www.coles.com.au/search?q=black%20swan%20corn%20relish%20dip
creamy chicken pot pie,4,3,1,0,https://www.coles.com.au/search?q=creamy%20chicken%20pot%20pie
low gi white rice,4,3,1,0,https://www.coles.com.au/search?q=low%20gi%20white%20rice
schwarzkopf nordic blonde toner,4,3,1,0,https://www.coles.com.au/search?q=schwarzkopf%20nordic%20blonde%20toner
beef and bacon pasta,4,3,1,0,https://www.coles.com.au/search?q=beef%20and%20bacon%20pasta
coles mexican style tuna,4,3,1,0,https://www.coles.com.au/search?q=coles%20mexican%20style%20tuna
coles instant coffee powder,4,3,1,0,https://www.coles.com.au/search?q=coles%20instant%20coffee%20powder
coles gluten free noodles,4,3,1,0,https://www.coles.com.au/search?q=coles%20gluten%20free%20noodles
soy sauce reduced sa,4,3,1,0,https://www.coles.com.au/search?q=soy%20sauce%20reduced%20sa
colgate pump toothpaste g,4,3,1,0,https://www.coles.com.au/search?q=colgate%20pump%20toothpaste%20g
kale and spinsch thing,4,3,1,0,https://www.coles.com.au/search?q=kale%20and%20spinsch%20thing
kb panko crumbed squid,4,3,1,0,https://www.coles.com.au/search?q=kb%20panko%20crumbed%20squid
huon salmon to go,4,3,1,0,https://www.coles.com.au/search?q=huon%20salmon%20to%20go
sour cream chives grainwaves,4,3,1,0,https://www.coles.com.au/search?q=sour%20cream%20chives%20grainwaves
thank you hand wash oran,5,3,1,0,https://www.coles.com.au/search?q=thank%20you%20hand%20wash%20oran
chux bathroom magic eraser,4,3,1,0,https://www.coles.com.au/search?q=chux%20bathroom%20magic%20eraser
abc extra hot chillie sauce,5,3,1,0,https://www.coles.com.au/search?q=abc%20extra%20hot%20chillie%20sauce
mccain frozen onion rings,4,3,1,0,https://www.coles.com.au/search?q=mccain%20frozen%20onion%20rings
semi sun dried tomatoes,4,3,1,0,https://www.coles.com.au/search?q=semi%20sun%20dried%20tomatoes
heinz tomato soup g,4,3,1,0,https://www.coles.com.au/search?q=heinz%20tomato%20soup%20g
a milk powder skim,4,3,1,0,https://www.coles.com.au/search?q=a%20milk%20powder%20skim
purity concentrate laundry liquid l,5,3,1,0,https://www.coles.com.au/search?q=purity%20concentrate%20laundry%20liquid%20l
oob organic frozen banana,4,3,1,0,https://www.coles.com.au/search?q=oob%20organic%20frozen%20banana
crayola crayons tuck box,4,3,1,0,https://www.coles.com.au/search?q=crayola%20crayons%20tuck%20box
heinz chicken classic soup,4,3,1,0,https://www.coles.com.au/search?q=heinz%20chicken%20classic%20soup
coles belgian chocolate gateau,4,3,1,0,https://www.coles.com.au/search?q=coles%20belgian%20chocolate%20gateau
green tea bags nerada,4,3,1,0,https://www.coles.com.au/search?q=green%20tea%20bags%20nerada
